"Year","County","Race","Mortality Rate","Births","Deaths"
2012,"DUPLIN","White",6.94444444444444,288,2
2012,"DURHAM","Black",19.0140845070423,1420,27
2012,"DURHAM","Hispanic",2.19298245614035,912,2
2012,"DURHAM","Native American",0,5,0
2012,"DURHAM","Other",3.59712230215827,278,1
2012,"DURHAM","White",2.41109101868596,1659,4
2012,"EDGECOMBE","Black",11.9047619047619,420,5
2012,"EDGECOMBE","Hispanic",0,50,0
2012,"EDGECOMBE","Native American",0,1,0
2012,"EDGECOMBE","Other",0,2,0
2012,"EDGECOMBE","White",0,194,0
2012,"FORSYTH","Black",14.8588410104012,1346,20
2012,"FORSYTH","Hispanic",7.96019900497512,1005,8
2012,"FORSYTH","Native American",0,6,0
2012,"FORSYTH","Other",16.3934426229508,122,2
2012,"FORSYTH","White",7.98496946923438,2129,17
2012,"FRANKLIN","Black",16.8539325842697,178,3
2012,"FRANKLIN","Hispanic",0,95,0
2012,"FRANKLIN","Native American",0,3,0
2012,"FRANKLIN","Other",0,5,0
2012,"FRANKLIN","White",12.987012987013,385,5
2012,"GASTON","Black",19.1897654584222,469,9
2012,"GASTON","Hispanic",0,239,0
2012,"GASTON","Native American",0,6,0
2012,"GASTON","Other",0,40,0
2012,"GASTON","White",8.63060989643268,1738,15
2012,"GATES","Black",0,18,0
2012,"GATES","Hispanic",0,2,0
2012,"GATES","White",0,33,0
2012,"GRAHAM","Hispanic",0,5,0
2012,"GRAHAM","Native American",0,12,0
2012,"GRAHAM","Other",0,1,0
2012,"GRAHAM","White",12.8205128205128,78,1
2012,"GRANVILLE","Black",12.1951219512195,164,2
2012,"GRANVILLE","Hispanic",0,67,0
2012,"GRANVILLE","Other",0,5,0
2012,"GRANVILLE","White",6.2111801242236,322,2
2012,"GREENE","Black",0,69,0
2012,"GREENE","Hispanic",0,45,0
2012,"GREENE","Other",0,1,0
2012,"GREENE","White",0,98,0
2012,"GUILFORD","Black",10.8378491037932,2399,26
2012,"GUILFORD","Hispanic",6.35324015247776,787,5
2012,"GUILFORD","Native American",76.9230769230769,26,2
2012,"GUILFORD","Other",0,450,0
2012,"GUILFORD","White",6.55469070053257,2441,16
2012,"HALIFAX","Black",17.4418604651163,344,6
2012,"HALIFAX","Hispanic",0,19,0
2012,"HALIFAX","Native American",0,26,0
2012,"HALIFAX","Other",0,5,0
2012,"HALIFAX","White",5.37634408602151,186,1
2012,"HARNETT","Black",16.3934426229508,366,6
2012,"HARNETT","Hispanic",7.54716981132075,265,2
2012,"HARNETT","Native American",0,23,0
2012,"HARNETT","Other",0,39,0
2012,"HARNETT","White",7.54005655042413,1061,8
2012,"HAYWOOD","Black",90.9090909090909,11,1
2012,"HAYWOOD","Hispanic",0,38,0
2012,"HAYWOOD","Native American",0,6,0
2012,"HAYWOOD","Other",250,4,1
2012,"HAYWOOD","White",4.0650406504065,492,2
2012,"HENDERSON","Black",0,43,0
2012,"HENDERSON","Hispanic",0,190,0
2012,"HENDERSON","Native American",0,1,0
2012,"HENDERSON","Other",0,15,0
2012,"HENDERSON","White",8.7719298245614,798,7
2012,"HERTFORD","Black",14.4927536231884,138,2
2012,"HERTFORD","Hispanic",0,10,0
2012,"HERTFORD","Native American",0,1,0
2012,"HERTFORD","White",17.5438596491228,57,1
2012,"HOKE","Black",4.76190476190476,210,1
2012,"HOKE","Hispanic",0,148,0
2012,"HOKE","Native American",24.6913580246914,81,2
2012,"HOKE","Other",0,34,0
2012,"HOKE","White",6.6079295154185,454,3
2012,"HYDE","Black",0,6,0
2012,"HYDE","Hispanic",0,3,0
2012,"HYDE","White",0,38,0
2012,"IREDELL","Black",32.6530612244898,245,8
2012,"IREDELL","Hispanic",0,183,0
2012,"IREDELL","Native American",0,1,0
2012,"IREDELL","Other",0,89,0
2012,"IREDELL","White",1.67644593461861,1193,2
2012,"JACKSON","Black",0,6,0
2012,"JACKSON","Hispanic",0,34,0
2012,"JACKSON","Native American",35.7142857142857,56,2
2012,"JACKSON","Other",0,4,0
2012,"JACKSON","White",3.7593984962406,266,1
2012,"JOHNSTON","Black",3.06748466257669,326,1
2012,"JOHNSTON","Hispanic",6.18556701030928,485,3
2012,"JOHNSTON","Native American",0,7,0
2012,"JOHNSTON","Other",58.8235294117647,17,1
2012,"JOHNSTON","White",8.75912408759124,1370,12
2012,"JONES","Black",0,22,0
2012,"JONES","Hispanic",0,5,0
2012,"JONES","White",0,60,0
2012,"LEE","Black",19.6078431372549,153,3
2012,"LEE","Hispanic",4.11522633744856,243,1
2012,"LEE","Native American",0,3,0
2012,"LEE","Other",0,10,0
2012,"LEE","White",9.97506234413965,401,4
2012,"LENOIR","Black",20.5479452054795,292,6
2012,"LENOIR","Hispanic",0,103,0
2012,"LENOIR","Native American",0,2,0
2012,"LENOIR","Other",0,4,0
2012,"LENOIR","White",0,247,0
2012,"LINCOLN","Black",0,41,0
2012,"LINCOLN","Hispanic",0,80,0
2012,"LINCOLN","Native American",0,1,0
2012,"LINCOLN","Other",0,7,0
2012,"LINCOLN","White",6.55737704918033,610,4
2012,"MACON","Black",0,3,0
2012,"MACON","Hispanic",0,50,0
2012,"MACON","Native American",0,3,0
2012,"MACON","Other",0,4,0
2012,"MACON","White",0,285,0
2012,"MADISON","Black",0,1,0
2012,"MADISON","Hispanic",0,8,0
2012,"MADISON","Native American",0,1,0
2012,"MADISON","Other",0,1,0
2012,"MADISON","White",5.23560209424084,191,1
2012,"MARTIN","Black",8.7719298245614,114,1
2012,"MARTIN","Hispanic",0,12,0
2012,"MARTIN","Other",0,1,0
2012,"MARTIN","White",0,103,0
2012,"MCDOWELL","Black",0,9,0
2012,"MCDOWELL","Hispanic",0,33,0
2012,"MCDOWELL","Native American",0,2,0
2012,"MCDOWELL","Other",0,9,0
2012,"MCDOWELL","White",5.08905852417303,393,2
2012,"MECKLENBURG","Black",10.1763907734057,4422,45
2012,"MECKLENBURG","Hispanic",3.4856700232378,2582,9
2012,"MECKLENBURG","Native American",0,26,0
2012,"MECKLENBURG","Other",4.67289719626168,1070,5
2012,"MECKLENBURG","White",2.64970853206147,5661,15
2012,"MITCHELL","Black",0,1,0
2012,"MITCHELL","Hispanic",0,17,0
2012,"MITCHELL","Native American",0,1,0
2012,"MITCHELL","Other",0,1,0
2012,"MITCHELL","White",0,124,0
2012,"MONTGOMERY","Black",30.3030303030303,66,2
2012,"MONTGOMERY","Hispanic",0,91,0
2012,"MONTGOMERY","Native American",0,1,0
2012,"MONTGOMERY","Other",0,8,0
2012,"MONTGOMERY","White",12.8205128205128,156,2
2012,"MOORE","Black",13.0718954248366,153,2
2012,"MOORE","Hispanic",0,105,0
2012,"MOORE","Native American",0,6,0
2012,"MOORE","Other",0,16,0
2012,"MOORE","White",1.48588410104012,673,1
2012,"NASH","Black",12,500,6
2012,"NASH","Hispanic",14.8148148148148,135,2
2012,"NASH","Native American",0,7,0
2012,"NASH","Other",0,12,0
2012,"NASH","White",6.75675675675676,444,3
